team_code,station_code,event_code,created_at,updated_at
TOKYU_V2_20251115_TEAM_A,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 01:00:00+09,2025-11-15 01:00:00+09
TOKYU_V2_20251115_TEAM_B,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 01:00:00+09,2025-11-15 01:00:00+09
TOKYU_V2_20251115_TEAM_C,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 01:00:00+09,2025-11-15 01:00:00+09
TOKYU_V2_20251115_TEAM_D,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 01:00:00+09,2025-11-15 01:00:00+09
