from_station_code,to_station_code,time_minutes,event_type_code
METRO_V1_TOKYO,METRO_V1_GINZA,2,METRO_V1
METRO_V1_TOKYO,METRO_V1_OTEMACHI,1,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_TOKYO,1,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_AWAJICHO,1,METRO_V1
METRO_V1_AWAJICHO,METRO_V1_OTEMACHI,1,METRO_V1
METRO_V1_AWAJICHO,METRO_V1_OCHANOMIZU,1,METRO_V1
METRO_V1_OCHANOMIZU,METRO_V1_AWAJICHO,1,METRO_V1
METRO_V1_OCHANOMIZU,METRO_V1_HONGO-SANCHOME,1,METRO_V1
METRO_V1_HONGO-SANCHOME,METRO_V1_OCHANOMIZU,1,METRO_V1
METRO_V1_HONGO-SANCHOME,METRO_V1_KORAKUEN,1,METRO_V1
METRO_V1_KORAKUEN,METRO_V1_HONGO-SANCHOME,2,METRO_V1
METRO_V1_KORAKUEN,METRO_V1_MYOGADANI,3,METRO_V1
METRO_V1_MYOGADANI,METRO_V1_KORAKUEN,3,METRO_V1
METRO_V1_MYOGADANI,METRO_V1_SHIN-OTSUKA,2,METRO_V1
METRO_V1_SHIN-OTSUKA,METRO_V1_MYOGADANI,2,METRO_V1
METRO_V1_SHIN-OTSUKA,METRO_V1_IKEBUKURO,3,METRO_V1
METRO_V1_IKEBUKURO,METRO_V1_SHIN-OTSUKA,3,METRO_V1
METRO_V1_NAKA-MEGURO,METRO_V1_EBISU,3,METRO_V1
METRO_V1_EBISU,METRO_V1_NAKA-MEGURO,2,METRO_V1
METRO_V1_EBISU,METRO_V1_HIRO-O,2,METRO_V1
METRO_V1_HIRO-O,METRO_V1_EBISU,3,METRO_V1
METRO_V1_HIRO-O,METRO_V1_ROPPONGI,2,METRO_V1
METRO_V1_ROPPONGI,METRO_V1_HIRO-O,3,METRO_V1
METRO_V1_ROPPONGI,METRO_V1_KAMIYACHO,3,METRO_V1
METRO_V1_KAMIYACHO,METRO_V1_ROPPONGI,3,METRO_V1
METRO_V1_KAMIYACHO,METRO_V1_TORANOMON-HILLS,1,METRO_V1
METRO_V1_TORANOMON-HILLS,METRO_V1_KAMIYACHO,1,METRO_V1
METRO_V1_TORANOMON-HILLS,METRO_V1_KASUMIGASEKI,2,METRO_V1
METRO_V1_KASUMIGASEKI,METRO_V1_TORANOMON-HILLS,1,METRO_V1
METRO_V1_KASUMIGASEKI,METRO_V1_HIBIYA,2,METRO_V1
METRO_V1_HIBIYA,METRO_V1_KASUMIGASEKI,3,METRO_V1
METRO_V1_HIBIYA,METRO_V1_GINZA,1,METRO_V1
METRO_V1_GINZA,METRO_V1_HIBIYA,1,METRO_V1
METRO_V1_GINZA,METRO_V1_HIGASHI-GINZA,2,METRO_V1
METRO_V1_HIGASHI-GINZA,METRO_V1_GINZA,2,METRO_V1
METRO_V1_HIGASHI-GINZA,METRO_V1_TSUKIJI,2,METRO_V1
METRO_V1_TSUKIJI,METRO_V1_HIGASHI-GINZA,2,METRO_V1
METRO_V1_TSUKIJI,METRO_V1_HATCHOBORI,2,METRO_V1
METRO_V1_HATCHOBORI,METRO_V1_TSUKIJI,2,METRO_V1
METRO_V1_HATCHOBORI,METRO_V1_KAYABACHO,1,METRO_V1
METRO_V1_KAYABACHO,METRO_V1_HATCHOBORI,1,METRO_V1
METRO_V1_KAYABACHO,METRO_V1_NINGYOCHO,2,METRO_V1
METRO_V1_NINGYOCHO,METRO_V1_KAYABACHO,2,METRO_V1
METRO_V1_NINGYOCHO,METRO_V1_KODEMMACHO,1,METRO_V1
METRO_V1_KODEMMACHO,METRO_V1_NINGYOCHO,1,METRO_V1
METRO_V1_KODEMMACHO,METRO_V1_AKIHABARA,1,METRO_V1
METRO_V1_AKIHABARA,METRO_V1_KODEMMACHO,1,METRO_V1
METRO_V1_AKIHABARA,METRO_V1_NAKA-OKACHIMACHI,1,METRO_V1
METRO_V1_NAKA-OKACHIMACHI,METRO_V1_AKIHABARA,1,METRO_V1
METRO_V1_NAKA-OKACHIMACHI,METRO_V1_UENO,1,METRO_V1
