team_code,team_name,team_color,event_code,created_at,updated_at
METRO_V1_TESTPLAY_20261010_TEAM_A,チームA,#0059ff,METRO_V1_TESTPLAY_20261010,,
METRO_V1_TESTPLAY_20261010_TEAM_B,チームB,#f11b1b,METRO_V1_TESTPLAY_20261010,,
METRO_V1_TESTPLAY_20261010_TEAM_C,チームC,#e7a923,METRO_V1_TESTPLAY_20261010,,
METRO_V1_TESTPLAY_20261010_TEAM_D,チームD,#03a50b,METRO_V1_TESTPLAY_20261010,,
