station_code,name,kana,english_name,latitude,longitude,is_mission_set,event_type_code,station_type,station_grade
METRO_V1_KAMIYACHO,神谷町,かみやちょう,Kamiyacho,35.662978,139.745069,FALSE,METRO_V1,mission,none
METRO_V1_KAYABACHO,茅場町,かやばちょう,Kayabacho,35.679752,139.780005,FALSE,METRO_V1,card,none
METRO_V1_KANDA,神田,かんだ,Kanda,35.69169,139.770883,FALSE,METRO_V1,,none
METRO_V1_KIKUKAWA,菊川,きくかわ,Kikukawa,35.688379,139.806016,FALSE,METRO_V1,,none
METRO_V1_KITA-AYASE,北綾瀬,きたあやせ,Kita-ayase,35.7770135,139.8321012,FALSE,METRO_V1,mission,none
METRO_V1_KITA-SANDO,北参道,きたさんどう,Kita-sando,35.678156,139.705678,FALSE,METRO_V1,mission,none
METRO_V1_KITA-SENJU,北千住,きたせんじゅ,Kita-senju,35.749412,139.805108,FALSE,METRO_V1,mission,none
METRO_V1_KIBA,木場,きば,Kiba,35.669457,139.806528,FALSE,METRO_V1,,none
METRO_V1_GYOTOKU,行徳,ぎょうとく,Gyotoku,35.682558,139.914235,FALSE,METRO_V1,,none
METRO_V1_KYOBASHI,京橋,きょうばし,Kyobashi,35.67685,139.7701,FALSE,METRO_V1,,none
METRO_V1_KIYOSUMI-SHIRAKAWA,清澄白河,きよすみしらかわ,Kiyosumi-shirakawa,35.682105,139.798851,FALSE,METRO_V1,treasure,none
METRO_V1_GINZA,銀座,ぎんざ,Ginza,35.671989,139.763965,FALSE,METRO_V1,mission,none
METRO_V1_GINZA-ITCHOME,銀座一丁目,ぎんざいっちょうめ,Ginza-itchome,35.67435,139.767045,FALSE,METRO_V1,,none
METRO_V1_KINSHICHO,錦糸町,きんしちょう,Kinshicho,35.696437,139.813949,FALSE,METRO_V1,,none
METRO_V1_KUDANSHITA,九段下,くだんした,Kudanshita,35.69543188,139.7511257,FALSE,METRO_V1,mission,none
METRO_V1_KURAMAE,蔵前,くらまえ,Kuramae,35.70546256,139.7925091,FALSE,METRO_V1,,none
METRO_V1_KOJIMACHI,麴町,こうじまち,Kojimachi,35.684006,139.737613,FALSE,METRO_V1,,none
METRO_V1_KORAKUEN,後楽園,こうらくえん,Korakuen,35.707337,139.7512,FALSE,METRO_V1,mission,none
METRO_V1_KOKURITSU-KYOGIJO,国立競技場,こくりつきょうぎじょう,Kokuritsu-kyogijo,35.68016223,139.713749,FALSE,METRO_V1,,none
METRO_V1_GOKOKUJI,護国寺,ごこくじ,Gokokuji,35.719044,139.72754,FALSE,METRO_V1,treasure,none
METRO_V1_KOTAKE-MUKAIHARA,小竹向原,こたけむかいはら,Kotake-mukaihara,35.743803,139.678572,FALSE,METRO_V1,mission,none
METRO_V1_GOTANDA,五反田,ごたんだ,Gotanda,35.626446,139.723444,FALSE,METRO_V1,,none
METRO_V1_KOKKAI-GIJIDOMAE,国会議事堂前,こっかいぎじどうまえ,Kokkai-gijidomae,35.67393,139.745219,FALSE,METRO_V1,,none
METRO_V1_KODEMMACHO,小伝馬町,こでんまちょう,Kodemmacho,35.690737,139.778433,FALSE,METRO_V1,treasure,none
METRO_V1_KOMAGOME,駒込,こまごめ,Komagome,35.736489,139.746875,FALSE,METRO_V1,,none
METRO_V1_SAKURADAMON,桜田門,さくらだもん,Sakuradamon,35.677366,139.751757,FALSE,METRO_V1,mission,none
METRO_V1_SHIODOME,汐留,しおどめ,Shiodome,35.66288729,139.7601405,FALSE,METRO_V1,,none
METRO_V1_SHINOZAKI,篠崎,しのざき,Shinozaki,35.706017,139.903698,FALSE,METRO_V1,,none
METRO_V1_SHIBAKOEN,芝公園,しばこうえん,Shibakoen,35.654071,139.749838,FALSE,METRO_V1,,none
METRO_V1_SHIBUYA,渋谷,しぶや,Shibuya,35.6586161,139.6993714,FALSE,METRO_V1,mission,none
METRO_V1_SHIMURA-SAKAUE,志村坂上,しむらさかうえ,Shimura-sakaue,35.775725,139.69538,FALSE,METRO_V1,,none
METRO_V1_SHIMURA-SANCHOME,志村三丁目,しむらさんちょうめ,Shimura-sanchome,35.777464,139.685962,FALSE,METRO_V1,,none
METRO_V1_SHIMO,志茂,しも,Shimo,35.777948,139.732599,FALSE,METRO_V1,,none
METRO_V1_SHIROKANEDAI,白金台,しろかねだい,Shirokanedai,35.637917,139.726133,FALSE,METRO_V1,,none
METRO_V1_SHIROKANE-TAKANAWA,白金高輪,しろかねたかなわ,Shirokane-takanawa,35.642903,139.734104,FALSE,METRO_V1,,none
METRO_V1_SHIN-ITABASHI,新板橋,しんいたばし,Shin-itabashi,35.748802,139.719604,FALSE,METRO_V1,,none
METRO_V1_SHIN-EGOTA,新江古田,しんえごた,Shin-egota,35.732538,139.670653,FALSE,METRO_V1,,none
METRO_V1_SHIN-OTSUKA,新大塚,しんおおつか,Shin-otsuka,35.725793,139.729915,FALSE,METRO_V1,mission,none
METRO_V1_SHIN-OKACHIMACHI,新御徒町,しんおかちまち,Shin-okachimachi,35.707055,139.78194,FALSE,METRO_V1,,none
METRO_V1_SHIN-OCHANOMIZU,新御茶ノ水,しんおちゃのみず,Shin-ochanomizu,35.698072,139.766014,FALSE,METRO_V1,mission,none
METRO_V1_SHIN-KIBA,新木場,しんきば,Shin-kiba,35.646157,139.827426,FALSE,METRO_V1,mission,none
METRO_V1_SHIN-KOENJI,新高円寺,しんこうえんじ,Shin-koenji,35.697985,139.648068,FALSE,METRO_V1,,none
METRO_V1_SHINJUKU,新宿,しんじゅく,Shinjuku,35.68844644,139.6986016,FALSE,METRO_V1,card,none
METRO_V1_SHINJUKU-GYOEMMAE,新宿御苑前,しんじゅくぎょえんまえ,Shinjuku-gyoemmae,35.688588,139.71069,FALSE,METRO_V1,,none
METRO_V1_SHINJUKU-SANCHOME,新宿三丁目,しんじゅくさんちょうめ,Shinjuku-sanchome,35.690616,139.706271,FALSE,METRO_V1,mission,none
METRO_V1_SHINJUKU-NISHIGUCHI,新宿西口,しんじゅくにしぐち,Shinjuku-nishiguchi,35.693315,139.699155,FALSE,METRO_V1,,none
METRO_V1_SHIN-TAKASHIMADAIRA,新高島平,しんたかしまだいら,Shin-takashimadaira,35.790294,139.654267,FALSE,METRO_V1,,none
METRO_V1_SHINTOMICHO,新富町,しんとみちょう,Shintomicho,35.670462,139.773711,FALSE,METRO_V1,,none
METRO_V1_SHIN-NAKANO,新中野,しんなかの,Shin-nakano,35.697491,139.66903,FALSE,METRO_V1,,none
METRO_V1_SHIMBASHI,新橋,しんばし,Shimbashi,35.665498,139.75964,FALSE,METRO_V1,card,none
METRO_V1_JIMBOCHO,神保町,じんぼうちょう,Jimbocho,35.69591611,139.7574395,FALSE,METRO_V1,mission,none
METRO_V1_SUITENGUMAE,水天宮前,すいてんぐうまえ,Suitengumae,35.682061,139.786035,FALSE,METRO_V1,treasure,none
METRO_V1_SUIDOBASHI,水道橋,すいどうばし,Suidobashi,35.70203,139.753653,FALSE,METRO_V1,,none
METRO_V1_SUEHIROCHO,末広町,すえひろちょう,Suehirocho,35.702972,139.771713,FALSE,METRO_V1,,none
METRO_V1_SUGAMO,巣鴨,すがも,Sugamo,35.733492,139.739345,FALSE,METRO_V1,mission,none
METRO_V1_SUMIYOSHI,住吉,すみよし,Sumiyoshi,35.689071,139.815651,FALSE,METRO_V1,,none
METRO_V1_SENGAKUJI,泉岳寺,せんがくじ,Sengakuji,35.638692,139.74002,FALSE,METRO_V1,treasure,none
METRO_V1_SENKAWA,千川,せんかわ,Senkawa,35.738418,139.689157,FALSE,METRO_V1,,none
METRO_V1_SENGOKU,千石,せんごく,Sengoku,35.727957,139.744792,FALSE,METRO_V1,,none
METRO_V1_SENDAGI,千駄木,せんだぎ,Sendagi,35.725549,139.763243,FALSE,METRO_V1,mission,none
METRO_V1_ZOSHIGAYA,雑司が谷,ぞうしがや,Zoshigaya,35.72034,139.715003,FALSE,METRO_V1,mission,none
METRO_V1_DAIMON,大門,だいもん,Daimon,35.65689055,139.7546994,FALSE,METRO_V1,treasure,none
METRO_V1_TAKASHIMADAIRA,高島平,たかしまだいら,Takashimadaira,35.788833,139.661172,FALSE,METRO_V1,,none
METRO_V1_TAKADANOBABA,高田馬場,たかだのばば,Takadanobaba,35.712285,139.703782,FALSE,METRO_V1,mission,none
METRO_V1_TAKANAWADAI,高輪台,たかなわだい,Takanawadai,35.631679,139.730305,FALSE,METRO_V1,,none
METRO_V1_TAKARACHO,宝町,たからちょう,Takaracho,35.675461,139.771767,FALSE,METRO_V1,,none
METRO_V1_TAKEBASHI,竹橋,たけばし,Takebashi,35.690662,139.756817,FALSE,METRO_V1,mission,none
METRO_V1_TATSUMI,辰巳,たつみ,Tatsumi,35.645576,139.81052,FALSE,METRO_V1,,none
METRO_V1_TAMEIKE-SANNO,溜池山王,ためいけさんのう,Tameike-sanno,35.673621,139.741419,FALSE,METRO_V1,,none
METRO_V1_TAWARAMACHI,田原町,たわらまち,Tawaramachi,35.709855,139.7908,FALSE,METRO_V1,,none
METRO_V1_CHIKATETSU-AKATSUKA,地下鉄赤塚,ちかてつあかつか,Chikatetsu-akatsuka,35.77053,139.644543,FALSE,METRO_V1,,none
METRO_V1_CHIKATETSU-NARIMASU,地下鉄成増,ちかてつなります,Chikatetsu-narimasu,35.776557,139.631497,FALSE,METRO_V1,,none
METRO_V1_TSUKIJI,築地,つきじ,Tsukiji,35.668115,139.772603,FALSE,METRO_V1,,none
METRO_V1_TSUKIJISHIJO,築地市場,つきじしじょう,Tsukijishijo,35.664895,139.766915,FALSE,METRO_V1,,none
METRO_V1_TSUKISHIMA,月島,つきしま,Tsukishima,35.66381998,139.78391,FALSE,METRO_V1,mission,none
METRO_V1_TOKYO,東京,とうきょう,Tokyo,35.681382,139.766084,FALSE,METRO_V1,,none
METRO_V1_TODAIMAE,東大前,とうだいまえ,Todaimae,35.717633,139.758025,FALSE,METRO_V1,mission,none
METRO_V1_TOYOCHO,東陽町,とうようちょう,Toyocho,35.669629,139.817596,FALSE,METRO_V1,,none
METRO_V1_TOGOSHI,戸越,とごし,Togoshi,35.614719,139.716398,FALSE,METRO_V1,,none
METRO_V1_TOSHIMAEN,豊島園,としまえん,Toshimaen,35.74191421,139.6491466,FALSE,METRO_V1,,none
METRO_V1_TOCHOMAE,都庁前,とちょうまえ,Tochomae,35.69057568,139.6926611,FALSE,METRO_V1,mission,none
METRO_V1_TOYOSU,豊洲,とよす,Toyosu,35.654908,139.79621,FALSE,METRO_V1,,none
METRO_V1_TORANOMON,虎ノ門,とらのもん,Toranomon,35.670236,139.749832,FALSE,METRO_V1,treasure,none
METRO_V1_TORANOMON-HILLS,虎ノ門ヒルズ,とらのもんひるず,Toranomon-hills,35.667444,139.747778,FALSE,METRO_V1,,none
METRO_V1_NAKAI,中井,なかい,Nakai,35.715065,139.687264,FALSE,METRO_V1,mission,none
METRO_V1_NAKA-OKACHIMACHI,仲御徒町,なかおかちまち,Naka-okachimachi,35.706555,139.776202,FALSE,METRO_V1,,none
METRO_V1_NAGATACHO,永田町,ながたちょう,Nagatacho,35.678757,139.740258,FALSE,METRO_V1,card,none
METRO_V1_NAKANO,中野,なかの,Nakano,35.706032,139.665652,FALSE,METRO_V1,mission,none
METRO_V1_NAKANO-SAKAUE,中野坂上,なかのさかうえ,Nakano-sakaue,35.69792,139.68291,FALSE,METRO_V1,,none
METRO_V1_NAKANO-SHIMBASHI,中野新橋,なかのしんばし,Nakano-shimbashi,35.692123,139.673997,FALSE,METRO_V1,,none
METRO_V1_NAKANOBU,中延,なかのぶ,Nakanobu,35.605479,139.713679,FALSE,METRO_V1,treasure,none
METRO_V1_NAKANO-FUJIMICHO,中野富士見町,なかのふじみちょう,Nakano-fujimicho,35.690514,139.666933,FALSE,METRO_V1,,none
METRO_V1_NAKA-MEGURO,中目黒,なかめぐろ,Naka-meguro,35.644307,139.699157,FALSE,METRO_V1,mission,none
METRO_V1_NISHI-OJIMA,西大島,にしおおじま,Nishi-ojima,35.689349,139.826206,FALSE,METRO_V1,,none
METRO_V1_NISHI-KASAI,西葛西,にしかさい,Nishi-kasai,35.664528,139.85937,FALSE,METRO_V1,,none
METRO_V1_NISHIGAHARA,西ケ原,にしがはら,Nishigahara,35.746008,139.742322,FALSE,METRO_V1,,none
METRO_V1_NISHI-SHINJUKU,西新宿,にししんじゅく,Nishi-shinjuku,35.694298,139.692778,FALSE,METRO_V1,,none
METRO_V1_NISHI-SHINJUKU-GOCHOME,西新宿五丁目,にししんじゅくごちょうめ,Nishi-shinjuku-gochome,35.68988048,139.6845509,FALSE,METRO_V1,,none
METRO_V1_NISHI-SUGAMO,西巣鴨,にしすがも,Nishi-sugamo,35.743508,139.728712,FALSE,METRO_V1,,none
METRO_V1_NISHIDAI,西台,にしだい,Nishidai,35.786926,139.673987,FALSE,METRO_V1,,none
METRO_V1_NISHI-TAKASHIMADAIRA,西高島平,にしたかしまだいら,Nishi-takashimadaira,35.791938,139.64589,FALSE,METRO_V1,mission,none
METRO_V1_NISHI-NIPPORI,西日暮里,にしにっぽり,Nishi-nippori,35.732135,139.766787,FALSE,METRO_V1,,none
METRO_V1_NISHI-FUNABASHI,西船橋,にしふなばし,Nishi-funabashi,35.707452,139.959097,FALSE,METRO_V1,mission,none
METRO_V1_NISHI-MAGOME,西馬込,にしまごめ,Nishi-magome,35.586859,139.705942,FALSE,METRO_V1,mission,none
METRO_V1_NIJUBASHIMAE,二重橋前〈丸の内〉,にじゅうばしまえ〈まるのうち〉,Nijubashimae〈Marunouchi〉,35.680366,139.761615,FALSE,METRO_V1,,none
METRO_V1_NISHI-WASEDA,西早稲田,にしわせだ,Nishi-waseda,35.707941,139.709093,FALSE,METRO_V1,mission,none
METRO_V1_NIHOMBASHI,日本橋,にほんばし,Nihombashi,35.682413,139.773919,FALSE,METRO_V1,mission,none
METRO_V1_NINGYOCHO,人形町,にんぎょうちょう,Ningyocho,35.686307,139.782285,FALSE,METRO_V1,mission,none
METRO_V1_NEZU,根津,ねづ,Nezu,35.717373,139.765741,FALSE,METRO_V1,treasure,none
METRO_V1_NERIMA,練馬,ねりま,Nerima,35.73782,139.653566,FALSE,METRO_V1,,none
METRO_V1_NERIMA-KASUGACHO,練馬春日町,ねりまかすがちょう,Nerima-kasugacho,35.751135,139.641058,FALSE,METRO_V1,,none
METRO_V1_NOGIZAKA,乃木坂,のぎざか,Nogizaka,35.666572,139.726215,FALSE,METRO_V1,,none
METRO_V1_HAKUSAN,白山,はくさん,Hakusan,35.72133,139.752078,FALSE,METRO_V1,,none
METRO_V1_BAKURO-YOKOYAMA,馬喰横山,ばくろよこやま,Bakuro-yokoyama,35.69196024,139.7829432,FALSE,METRO_V1,,none
METRO_V1_HASUNE,蓮根,はすね,Hasune,35.784174,139.67904,FALSE,METRO_V1,mission,none
METRO_V1_HATCHOBORI,八丁堀,はっちょうぼり,Hatchobori,35.674617,139.777705,FALSE,METRO_V1,,none
METRO_V1_HAMACHO,浜町,はまちょう,Hamacho,35.68841084,139.7879337,FALSE,METRO_V1,,none
METRO_V1_BARAKI-NAKAYAMA,原木中山,ばらきなかやま,Baraki-nakayama,35.7032,139.941876,FALSE,METRO_V1,,none
METRO_V1_HANZOMON,半蔵門,はんぞうもん,Hanzomon,35.685703,139.741644,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-IKEBUKURO,東池袋,ひがしいけぶくろ,Higashi-ikebukuro,35.725362,139.720435,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-OJIMA,東大島,ひがしおおじま,Higashi-ojima,35.690347,139.84596,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-GINZA,東銀座,ひがしぎんざ,Higashi-ginza,35.669464,139.767253,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-KOENJI,東高円寺,ひがしこうえんじ,Higashi-koenji,35.697802,139.657822,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-SHINJUKU,東新宿,ひがししんじゅく,Higashi-shinjuku,35.69792,139.707549,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-NAKANO,東中野,ひがしなかの,Higashi-nakano,35.7061217,139.6837906,FALSE,METRO_V1,,none
METRO_V1_HIGASHI-NIHOMBASHI,東日本橋,ひがしにほんばし,Higashi-nihombashi,35.692126,139.784821,FALSE,METRO_V1,,none
METRO_V1_HIKARIGAOKA,光が丘,ひかりがおか,Hikarigaoka,35.758526,139.628603,FALSE,METRO_V1,mission,none
METRO_V1_HIKAWADAI,氷川台,ひかわだい,Hikawadai,35.749822,139.665023,FALSE,METRO_V1,,none
METRO_V1_HIBIYA,日比谷,ひびや,Hibiya,35.675114,139.759765,FALSE,METRO_V1,mission,none
METRO_V1_HIRO-O,広尾,ひろお,Hiro-o,35.652279,139.722227,FALSE,METRO_V1,,none
METRO_V1_FUNABORI,船堀,ふなぼり,Funabori,35.683732,139.864333,FALSE,METRO_V1,,none
METRO_V1_HEIWADAI,平和台,へいわだい,Heiwadai,35.757863,139.653762,FALSE,METRO_V1,,none
METRO_V1_HONANCHO,方南町,ほうなんちょう,Honancho,35.683496,139.656498,FALSE,METRO_V1,mission,none
METRO_V1_HONGO-SANCHOME,本郷三丁目,ほんごうさんちょうめ,Hongo-sanchome,35.70744156,139.7604488,FALSE,METRO_V1,card,none
METRO_V1_HON-KOMAGOME,本駒込,ほんこまごめ,Hon-komagome,35.724155,139.753828,FALSE,METRO_V1,,none
METRO_V1_HONJO-AZUMABASHI,本所吾妻橋,ほんじょあずまばし,Honjo-azumabashi,35.70858,139.804624,FALSE,METRO_V1,,none
METRO_V1_MAGOME,馬込,まごめ,Magome,35.596435,139.711772,FALSE,METRO_V1,,none
METRO_V1_MACHIYA,町屋,まちや,Machiya,35.742268,139.781435,FALSE,METRO_V1,,none
METRO_V1_MIZUE,瑞江,みずえ,Mizue,35.693318,139.89761,FALSE,METRO_V1,,none
METRO_V1_MITA,三田,みた,Mita,35.64818,139.748775,FALSE,METRO_V1,mission,none
METRO_V1_MITSUKOSHIMAE,三越前,みつこしまえ,Mitsukoshimae,35.684888,139.773161,FALSE,METRO_V1,treasure,none
METRO_V1_MINAMI-ASAGAYA,南阿佐ケ谷,みなみあさがや,Minami-asagaya,35.699624,139.63576,FALSE,METRO_V1,,none
METRO_V1_MINAMI-GYOTOKU,南行徳,みなみぎょうとく,Minami-gyotoku,35.672687,139.902311,FALSE,METRO_V1,,none
METRO_V1_MINAMI-SUNAMACHI,南砂町,みなみすなまち,Minami-sunamachi,35.668796,139.83065,FALSE,METRO_V1,,none
METRO_V1_MINAMI-SENJU,南千住,みなみせんじゅ,Minami-senju,35.733336,139.799171,FALSE,METRO_V1,,none
METRO_V1_MINOWA,三ノ輪,みのわ,Minowa,35.729528,139.79133,FALSE,METRO_V1,,none
METRO_V1_MYOGADANI,茗荷谷,みょうがだに,Myogadani,35.717305,139.736734,FALSE,METRO_V1,,none
METRO_V1_MYODEN,妙典,みょうでん,Myoden,35.691613,139.925017,FALSE,METRO_V1,,none
METRO_V1_MEIJI-JINGUMAE,明治神宮前〈原宿〉,めいじじんぐうまえ〈はらじゅく〉,Meiji-jingumae〈Harajuku〉,35.669071,139.703995,FALSE,METRO_V1,,none
METRO_V1_MEGURO,目黒,めぐろ,Meguro,35.633998,139.715828,FALSE,METRO_V1,mission,none
METRO_V1_MOTOHASUNUMA,本蓮沼,もとはすぬま,Motohasunuma,35.768782,139.702324,FALSE,METRO_V1,,none
METRO_V1_MOTOYAWATA,本八幡,もとやわた,Motoyawata,35.72277745,139.9265144,FALSE,METRO_V1,mission,none
METRO_V1_MORISHITA,森下,もりした,Morishita,35.68800786,139.7981729,FALSE,METRO_V1,mission,none
METRO_V1_MONZEN-NAKACHO,門前仲町,もんぜんなかちょう,Monzen-nakacho,35.67246748,139.7947264,FALSE,METRO_V1,mission,none
METRO_V1_YURAKUCHO,有楽町,ゆうらくちょう,Yurakucho,35.675069,139.763328,FALSE,METRO_V1,,none
METRO_V1_YUSHIMA,湯島,ゆしま,Yushima,35.708243,139.769916,FALSE,METRO_V1,,none
METRO_V1_YOTSUYA,四ツ谷,よつや,Yotsuya,35.686014,139.730667,FALSE,METRO_V1,,none
METRO_V1_YOTSUYA-SANCHOME,四谷三丁目,よつやさんちょうめ,Yotsuya-sanchome,35.687958,139.720103,FALSE,METRO_V1,mission,none
METRO_V1_YOYOGI,代々木,よよぎ,Yoyogi,35.68304384,139.7020716,FALSE,METRO_V1,,none
METRO_V1_YOYOGI-UEHARA,代々木上原,よよぎうえはら,Yoyogi-uehara,35.669062,139.679678,FALSE,METRO_V1,mission,none
METRO_V1_YOYOGI-KOEN,代々木公園,よよぎこうえん,Yoyogi-koen,35.668954,139.691318,FALSE,METRO_V1,,none
METRO_V1_RYOGOKU,両国,りょうごく,Ryogoku,35.69661868,139.7973666,FALSE,METRO_V1,,none
METRO_V1_ROPPONGI,六本木,ろっぽんぎ,Roppongi,35.6639902,139.7314148,FALSE,METRO_V1,mission,none
METRO_V1_ROPPONGI-ITCHOME,六本木一丁目,ろっぽんぎいっちょうめ,Roppongi-itchome,35.665595,139.739,FALSE,METRO_V1,,none
METRO_V1_WAKAMATSU-KAWADA,若松河田,わかまつかわだ,Wakamatsu-kawada,35.699218,139.718184,FALSE,METRO_V1,,none
METRO_V1_WAKOSHI,和光市,わこうし,Wakoshi,35.788515,139.612343,FALSE,METRO_V1,mission,none
METRO_V1_WASEDA,早稲田,わせだ,Waseda,35.705723,139.721319,FALSE,METRO_V1,treasure,none
