id,from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
55,JIYUGAOKA,TORITSUDAIGAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
56,JIYUGAOKA,KUHONBUTSU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
57,JIYUGAOKA,MIDORIGAOKA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
58,KAJIGAYA,MIYAZAKIDAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
59,KAJIGAYA,MIZONOKUCHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
60,KAMATA,YAGUCHINOWATASHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
61,KAMATA,HASUNUMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
62,KAMINOGE,FUTAKOTAMAGAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
63,KAMINOGE,TODOROKI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
64,KIKUNA,MYORENJI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
65,KIKUNA,OKURAYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
66,KITASENZOKU,OOKAYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
67,KITASENZOKU,HATANODAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
68,KOMAZAWADAIGAKU,SAKURASHINMACHI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
69,KOMAZAWADAIGAKU,SANGENJAYA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
70,KUGAHARA,CHIDORICHO,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
71,KUGAHARA,ONTAKESAN,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
