id,station_code,name,kana,latitude,longitude,is_mission_set,created_at,updated_at,event_type_code,english_name
294,TOKYU_V2_GOTANDA,五反田,ごたんだ,35.626446,139.723444,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,GOTANDA
295,TOKYU_V2_HAKURAKU,白楽,はくらく,35.489697,139.627892,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,HAKURAKU
296,TOKYU_V2_HASUNUMA,蓮沼,はすぬま,35.50670837,139.6168805,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,HASUNUMA
297,TOKYU_V2_HATANODAI,旗の台,はたのだい,35.604848,139.702497,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,HATANODAI
298,TOKYU_V2_HIGASHIHAKURAKU,東白楽,ひがしはくらく,35.483425,139.629361,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,HIGASHIHAKURAKU
299,TOKYU_V2_HIYOSHI,日吉,ひよし,35.553064,139.646783,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,HIYOSHI
300,TOKYU_V2_ICHIGAO,市が尾,いちがお,35.551477,139.541388,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,ICHIGAO
301,TOKYU_V2_IKEGAMI,池上,いけがみ,35.572097,139.702885,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,IKEGAMI
302,TOKYU_V2_IKEJIRIOHASHI,池尻大橋,いけじりおおはし,35.650603,139.684319,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,IKEJIRIOHASHI
303,TOKYU_V2_ISHIKAWADAI,石川台,いしかわだい,35.596943,139.685257,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,ISHIKAWADAI
304,TOKYU_V2_JIYUGAOKA,自由が丘,じゆうがおか,35.607577,139.669094,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,JIYUGAOKA
305,TOKYU_V2_KAJIGAYA,梶が谷,かじがや,35.594102,139.606008,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KAJIGAYA
306,TOKYU_V2_KAMATA,蒲田,かまた,35.562479,139.716051,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KAMATA
307,TOKYU_V2_KAMINOGE,上野毛,かみのげ,35.612007,139.638861,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KAMINOGE
308,TOKYU_V2_KIKUNA,菊名,きくな,35.50963984,139.630734,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KIKUNA
309,TOKYU_V2_KITASENZOKU,北千束,きたせんぞく,35.60632,139.693214,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KITASENZOKU
310,TOKYU_V2_KOMAZAWADAIGAKU,駒沢大学,こまざわだいがく,35.633471,139.661702,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KOMAZAWADAIGAKU
311,TOKYU_V2_KUGAHARA,久が原,くがはら,35.57984,139.685345,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KUGAHARA
312,TOKYU_V2_KUHONBUTSU,九品仏,くほんぶつ,35.605411,139.661023,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,KUHONBUTSU
313,TOKYU_V2_MEGURO,目黒,めぐろ,35.633998,139.715828,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MEGURO
314,TOKYU_V2_MIDORIGAOKA,緑が丘,みどりがおか,35.50670837,139.6168805,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MIDORIGAOKA
315,TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,南町田グランベリーパーク,みなみまちだぐらんべりーぱーく,35.511502,139.470318,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MINAMIMACHIDAGRANBERRYPARK
316,TOKYU_V2_MINATOMIRAI,みなとみらい,みなとみらい,35.457917,139.632314,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MINATOMIRAI
317,TOKYU_V2_MIYAMAEDAIRA,宮前平,みやまえだいら,35.584945,139.581919,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MIYAMAEDAIRA
