id,station_code,event_code,created_at,updated_at,team_code
221,TOKYU_V2_KIKUNA,TOKYU_V2_20251115,2025-11-15 05:56:21.88+00,2025-11-15 05:56:21.88+00,TOKYU_V2_20251115_TEAM_D
222,TOKYU_V2_KIKUNA,TOKYU_V2_20251115,2025-11-15 05:57:37.828+00,2025-11-15 05:57:37.828+00,TOKYU_V2_20251115_TEAM_A
223,TOKYU_V2_MIDORIGAOKA,TOKYU_V2_20251115,2025-11-15 06:05:47.677+00,2025-11-15 06:05:47.677+00,TOKYU_V2_20251115_TEAM_C
224,TOKYU_V2_OKURAYAMA,TOKYU_V2_20251115,2025-11-15 06:07:35.13+00,2025-11-15 06:07:35.13+00,TOKYU_V2_20251115_TEAM_A
225,TOKYU_V2_KIKUNA,TOKYU_V2_20251115,2025-11-15 06:16:14.861+00,2025-11-15 06:16:14.861+00,TOKYU_V2_20251115_TEAM_A
226,TOKYU_V2_HAKURAKU,TOKYU_V2_20251115,2025-11-15 06:19:12.062+00,2025-11-15 06:19:12.062+00,TOKYU_V2_20251115_TEAM_B
227,TOKYU_V2_OKURAYAMA,TOKYU_V2_20251115,2025-11-15 06:23:05.039+00,2025-11-15 06:23:05.039+00,TOKYU_V2_20251115_TEAM_A
228,TOKYU_V2_TODOROKI,TOKYU_V2_20251115,2025-11-15 06:40:40.523+00,2025-11-15 06:40:40.523+00,TOKYU_V2_20251115_TEAM_C
229,TOKYU_V2_MIZONOKUCHI,TOKYU_V2_20251115,2025-11-15 06:53:40.923+00,2025-11-15 06:53:40.923+00,TOKYU_V2_20251115_TEAM_C
230,TOKYU_V2_SHIBUYA,TOKYU_V2_20251115,2025-11-15 06:57:29.393+00,2025-11-15 06:57:29.393+00,TOKYU_V2_20251115_TEAM_A
231,TOKYU_V2_TAMAGAWA,TOKYU_V2_20251115,2025-11-15 07:07:22.807+00,2025-11-15 07:07:22.807+00,TOKYU_V2_20251115_TEAM_D
232,TOKYU_V2_KOMAZAWADAIGAKU,TOKYU_V2_20251115,2025-11-15 07:23:09.302+00,2025-11-15 07:23:09.302+00,TOKYU_V2_20251115_TEAM_A
233,TOKYU_V2_MOTOSUMIYOSHI,TOKYU_V2_20251115,2025-11-15 07:23:38.836+00,2025-11-15 07:23:38.836+00,TOKYU_V2_20251115_TEAM_B
234,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 07:39:02.427+00,2025-11-15 07:39:02.427+00,TOKYU_V2_20251115_TEAM_D
235,TOKYU_V2_TSUNASHIMA,TOKYU_V2_20251115,2025-11-15 07:39:58.467+00,2025-11-15 07:39:58.467+00,TOKYU_V2_20251115_TEAM_B
236,TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_20251115,2025-11-15 07:41:43.476+00,2025-11-15 07:41:43.476+00,TOKYU_V2_20251115_TEAM_C
237,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 08:12:03.402+00,2025-11-15 08:12:03.402+00,TOKYU_V2_20251115_TEAM_C
238,TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_20251115,2025-11-15 08:13:05.735+00,2025-11-15 08:13:05.735+00,TOKYU_V2_20251115_TEAM_A
239,TOKYU_V2_OOKAYAMA,TOKYU_V2_20251115,2025-11-15 08:16:56.684+00,2025-11-15 08:16:56.684+00,TOKYU_V2_20251115_TEAM_D
