station_code,name,is_mission_set,kana,englishName,latitude,longitude,event_type_code,english_name
AOBADAI,青葉台,FALSE,あおばだい,AOBADAI,35.542955,139.517182,TOKYU,Aobadai
AZAMINO,あざみ野,TRUE,あざみの,AZAMINO,35.568717,139.553556,TOKYU,Azamino
BASHAMICHI,馬車道,TRUE,ばしゃみち,BASHAMICHI,35.450135,139.636175,TOKYU,Bashamichi
CHIDORICHO,千鳥町,FALSE,ちどりちょう,CHIDORICHO,35.57293,139.691459,TOKYU,Chidorichō
CHUORINKAN,中央林間,TRUE,ちゅうおうりんかん,CHUORINKAN,35.50788411,139.4441171,TOKYU,Chūō-rinkan
DAIKANYAMA,代官山,FALSE,だいかんやま,DAIKANYAMA,35.648104,139.703168,TOKYU,Daikan-yama
DENENCHOFU,田園調布,FALSE,でんえんちょうふ,DENENCHOFU,35.603844,139.6723,TOKYU,Den-en-chōfu
EBARAMACHI,荏原町,FALSE,えばらまち,EBARAMACHI,35.603782,139.70781,TOKYU,Ebara-machi
EBARANAKANOBU,荏原中延,FALSE,えばらなかのぶ,EBARANAKANOBU,35.609953,139.711954,TOKYU,Ebara-nakanobu
EDA,江田,FALSE,えだ,EDA,35.558646,139.551509,TOKYU,Eda
FUDOMAE,不動前,FALSE,ふどうまえ,FUDOMAE,35.625679,139.713406,TOKYU,Fudō-mae
FUJIGAOKA,藤が丘,FALSE,ふじがおか,FUJIGAOKA,35.543595,139.527873,TOKYU,Fujigaoka
FUTAKOSHINCHI,二子新地,FALSE,ふたこしんち,FUTAKOSHINCHI,35.607125,139.622399,TOKYU,Futako-shinchi
FUTAKOTAMAGAWA,二子玉川,FALSE,ふたこたまがわ,FUTAKOTAMAGAWA,35.611499,139.626624,TOKYU,Futako-tamagawa
GAKUGEIDAIGAKU,学芸大学,FALSE,がくげいだいがく,GAKUGEIDAIGAKU,35.628845,139.685284,TOKYU,Gakugei-daigaku
GOTANDA,五反田,TRUE,ごたんだ,GOTANDA,35.626446,139.723444,TOKYU,Gotanda
HAKURAKU,白楽,TRUE,はくらく,HAKURAKU,35.489697,139.627892,TOKYU,Hakuraku
HASUNUMA,蓮沼,FALSE,はすぬま,HASUNUMA,35.50670837,139.6168805,TOKYU,Hasunuma
HATANODAI,旗の台,FALSE,はたのだい,HATANODAI,35.604848,139.702497,TOKYU,Hatanodai
HIGASHIHAKURAKU,東白楽,FALSE,ひがしはくらく,HIGASHIHAKURAKU,35.483425,139.629361,TOKYU,Higashi-hakuraku
HIYOSHI,日吉,TRUE,ひよし,HIYOSHI,35.553064,139.646783,TOKYU,Hiyoshi
ICHIGAO,市が尾,FALSE,いちがお,ICHIGAO,35.551477,139.541388,TOKYU,Ichigao
IKEGAMI,池上,TRUE,いけがみ,IKEGAMI,35.572097,139.702885,TOKYU,Ikegami
IKEJIRIOHASHI,池尻大橋,FALSE,いけじりおおはし,IKEJIRIOHASHI,35.650603,139.684319,TOKYU,Ikejiri-ōhashi
ISHIKAWADAI,石川台,FALSE,いしかわだい,ISHIKAWADAI,35.596943,139.685257,TOKYU,Ishikawa-dai
JIYUGAOKA,自由が丘,FALSE,じゆうがおか,JIYUGAOKA,35.607577,139.669094,TOKYU,Jiyūgaoka
KAJIGAYA,梶が谷,FALSE,かじがや,KAJIGAYA,35.594102,139.606008,TOKYU,Kajigaya
KAMATA,蒲田,FALSE,かまた,KAMATA,35.562479,139.716051,TOKYU,Kamata
KAMINOGE,上野毛,FALSE,かみのげ,KAMINOGE,35.612007,139.638861,TOKYU,Kaminoge
KIKUNA,菊名,FALSE,きくな,KIKUNA,35.50963984,139.630734,TOKYU,Kikuna
KITASENZOKU,北千束,FALSE,きたせんぞく,KITASENZOKU,35.60632,139.693214,TOKYU,Kitasenzoku
KOMAZAWADAIGAKU,駒沢大学,FALSE,こまざわだいがく,KOMAZAWADAIGAKU,35.633471,139.661702,TOKYU,Komazawa University
KUGAHARA,久が原,FALSE,くがはら,KUGAHARA,35.57984,139.685345,TOKYU,Kugahara
KUHONBUTSU,九品仏,FALSE,くほんぶつ,KUHONBUTSU,35.605411,139.661023,TOKYU,Kuhombutsu
MEGURO,目黒,TRUE,めぐろ,MEGURO,35.633998,139.715828,TOKYU,Meguro
MIDORIGAOKA,緑が丘,FALSE,みどりがおか,MIDORIGAOKA,35.50670837,139.6168805,TOKYU,Midorigaoka
MINAMIMACHIDAGRANBERRYPARK,南町田グランベリーパーク,TRUE,みなみまちだぐらんべりーぱーく,MINAMIMACHIDAGRANBERRYPARK,35.511502,139.470318,TOKYU,Minami-machida Grandberry Park
MINATOMIRAI,みなとみらい,FALSE,みなとみらい,MINATOMIRAI,35.457917,139.632314,TOKYU,Minatomirai
MIYAMAEDAIRA,宮前平,FALSE,みやまえだいら,MIYAMAEDAIRA,35.584945,139.581919,TOKYU,Miyamaedaira
MIYAZAKIDAI,宮崎台,FALSE,みやざきだい,MIYAZAKIDAI,35.587325,139.591349,TOKYU,Miyazakidai
MIZONOKUCHI,溝の口,TRUE,みぞのくち,MIZONOKUCHI,35.600032,139.610626,TOKYU,Mizonokuchi
MOTOMACHICHUKAGAI,元町・中華街,TRUE,もとまちちゅうかがい,MOTOMACHICHUKAGAI,35.442411,139.650472,TOKYU,Motomachi-Chūkagai
MOTOSUMIYOSHI,元住吉,FALSE,もとすみよし,MOTOSUMIYOSHI,35.56432,139.654046,TOKYU,Motosumiyoshi
