station_code,name,is_mission_set,kana,englishName,latitude,longitude,event_type_code
TOKYU_V2_AOBADAI,青葉台,FALSE,あおばだい,AOBADAI,35.542955,139.517182,TOKYU_V2
TOKYU_V2_AZAMINO,あざみ野,TRUE,あざみの,AZAMINO,35.568717,139.553556,TOKYU_V2
TOKYU_V2_BASHAMICHI,馬車道,TRUE,ばしゃみち,BASHAMICHI,35.450135,139.636175,TOKYU_V2
TOKYU_V2_CHIDORICHO,千鳥町,FALSE,ちどりちょう,CHIDORICHO,35.57293,139.691459,TOKYU_V2
TOKYU_V2_CHUORINKAN,中央林間,TRUE,ちゅうおうりんかん,CHUORINKAN,35.50788411,139.4441171,TOKYU_V2
TOKYU_V2_DAIKANYAMA,代官山,FALSE,だいかんやま,DAIKANYAMA,35.648104,139.703168,TOKYU_V2
TOKYU_V2_DENENCHOFU,田園調布,FALSE,でんえんちょうふ,DENENCHOFU,35.603844,139.6723,TOKYU_V2
TOKYU_V2_EBARAMACHI,荏原町,FALSE,えばらまち,EBARAMACHI,35.603782,139.70781,TOKYU_V2
TOKYU_V2_EBARANAKANOBU,荏原中延,FALSE,えばらなかのぶ,EBARANAKANOBU,35.609953,139.711954,TOKYU_V2
TOKYU_V2_EDA,江田,FALSE,えだ,EDA,35.558646,139.551509,TOKYU_V2
TOKYU_V2_FUDOMAE,不動前,FALSE,ふどうまえ,FUDOMAE,35.625679,139.713406,TOKYU_V2
TOKYU_V2_FUJIGAOKA,藤が丘,FALSE,ふじがおか,FUJIGAOKA,35.543595,139.527873,TOKYU_V2
TOKYU_V2_FUTAKOSHINCHI,二子新地,FALSE,ふたこしんち,FUTAKOSHINCHI,35.607125,139.622399,TOKYU_V2
TOKYU_V2_FUTAKOTAMAGAWA,二子玉川,TRUE,ふたこたまがわ,FUTAKOTAMAGAWA,35.611499,139.626624,TOKYU_V2
TOKYU_V2_GAKUGEIDAIGAKU,学芸大学,TRUE,がくげいだいがく,GAKUGEIDAIGAKU,35.628845,139.685284,TOKYU_V2
TOKYU_V2_GOTANDA,五反田,TRUE,ごたんだ,GOTANDA,35.626446,139.723444,TOKYU_V2
TOKYU_V2_HAKURAKU,白楽,TRUE,はくらく,HAKURAKU,35.489697,139.627892,TOKYU_V2
TOKYU_V2_HASUNUMA,蓮沼,FALSE,はすぬま,HASUNUMA,35.50670837,139.6168805,TOKYU_V2
TOKYU_V2_HATANODAI,旗の台,FALSE,はたのだい,HATANODAI,35.604848,139.702497,TOKYU_V2
TOKYU_V2_HIGASHIHAKURAKU,東白楽,FALSE,ひがしはくらく,HIGASHIHAKURAKU,35.483425,139.629361,TOKYU_V2
TOKYU_V2_HIYOSHI,日吉,FALSE,ひよし,HIYOSHI,35.553064,139.646783,TOKYU_V2
TOKYU_V2_ICHIGAO,市が尾,FALSE,いちがお,ICHIGAO,35.551477,139.541388,TOKYU_V2
TOKYU_V2_IKEGAMI,池上,TRUE,いけがみ,IKEGAMI,35.572097,139.702885,TOKYU_V2
TOKYU_V2_IKEJIRIOHASHI,池尻大橋,FALSE,いけじりおおはし,IKEJIRIOHASHI,35.650603,139.684319,TOKYU_V2
TOKYU_V2_ISHIKAWADAI,石川台,FALSE,いしかわだい,ISHIKAWADAI,35.596943,139.685257,TOKYU_V2
TOKYU_V2_JIYUGAOKA,自由が丘,FALSE,じゆうがおか,JIYUGAOKA,35.607577,139.669094,TOKYU_V2
TOKYU_V2_KAJIGAYA,梶が谷,FALSE,かじがや,KAJIGAYA,35.594102,139.606008,TOKYU_V2
TOKYU_V2_KAMATA,蒲田,TRUE,かまた,KAMATA,35.562479,139.716051,TOKYU_V2
TOKYU_V2_KAMINOGE,上野毛,FALSE,かみのげ,KAMINOGE,35.612007,139.638861,TOKYU_V2
TOKYU_V2_KIKUNA,菊名,FALSE,きくな,KIKUNA,35.50963984,139.630734,TOKYU_V2
TOKYU_V2_KITASENZOKU,北千束,FALSE,きたせんぞく,KITASENZOKU,35.60632,139.693214,TOKYU_V2
TOKYU_V2_KOMAZAWADAIGAKU,駒沢大学,FALSE,こまざわだいがく,KOMAZAWADAIGAKU,35.633471,139.661702,TOKYU_V2
TOKYU_V2_KUGAHARA,久が原,FALSE,くがはら,KUGAHARA,35.57984,139.685345,TOKYU_V2
TOKYU_V2_KUHONBUTSU,九品仏,FALSE,くほんぶつ,KUHONBUTSU,35.605411,139.661023,TOKYU_V2
TOKYU_V2_MEGURO,目黒,TRUE,めぐろ,MEGURO,35.633998,139.715828,TOKYU_V2
TOKYU_V2_MIDORIGAOKA,緑が丘,FALSE,みどりがおか,MIDORIGAOKA,35.50670837,139.6168805,TOKYU_V2
TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,南町田グランベリーパーク,TRUE,みなみまちだぐらんべりーぱーく,MINAMIMACHIDAGRANBERRYPARK,35.511502,139.470318,TOKYU_V2
TOKYU_V2_MINATOMIRAI,みなとみらい,FALSE,みなとみらい,MINATOMIRAI,35.457917,139.632314,TOKYU_V2
TOKYU_V2_MIYAMAEDAIRA,宮前平,FALSE,みやまえだいら,MIYAMAEDAIRA,35.584945,139.581919,TOKYU_V2
TOKYU_V2_MIYAZAKIDAI,宮崎台,FALSE,みやざきだい,MIYAZAKIDAI,35.587325,139.591349,TOKYU_V2
TOKYU_V2_MIZONOKUCHI,溝の口,TRUE,みぞのくち,MIZONOKUCHI,35.600032,139.610626,TOKYU_V2
TOKYU_V2_MOTOMACHICHUKAGAI,元町・中華街,TRUE,もとまちちゅうかがい,MOTOMACHICHUKAGAI,35.442411,139.650472,TOKYU_V2
TOKYU_V2_MOTOSUMIYOSHI,元住吉,TRUE,もとすみよし,MOTOSUMIYOSHI,35.56432,139.654046,TOKYU_V2
