team_code,station_code,event_code,created_at,updated_at
TEAM_A,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00
TEAM_B,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00
TEAM_C,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00
TEAM_D,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00
